heartrate,activityid,time
73,102,2020-12-22 14:34:27.313000000
72,102,2020-12-22 14:34:28.313000000
72,102,2020-12-22 14:34:29.313000000
72,102,2020-12-22 14:34:30.313000000
72,102,2020-12-22 14:34:31.313000000
72,102,2020-12-22 14:34:32.313000000
72,102,2020-12-22 14:34:33.313000000
72,102,2020-12-22 14:34:34.313000000
72,102,2020-12-22 14:34:35.313000000
72,102,2020-12-22 14:34:36.313000000
72,102,2020-12-22 14:34:37.313000000
71,102,2020-12-22 14:34:38.313000000
71,102,2020-12-22 14:34:39.313000000
71,102,2020-12-22 14:34:40.313000000
71,102,2020-12-22 14:34:41.313000000
71,102,2020-12-22 14:34:42.313000000
71,102,2020-12-22 14:34:43.313000000
72,102,2020-12-22 14:34:44.313000000
72,102,2020-12-22 14:34:45.313000000
72,102,2020-12-22 14:34:46.313000000
72,102,2020-12-22 14:34:47.313000000
72,102,2020-12-22 14:34:48.313000000
72,102,2020-12-22 14:34:49.313000000
72,102,2020-12-22 14:34:50.313000000
72,102,2020-12-22 14:34:51.313000000
73,102,2020-12-22 14:34:52.313000000
73,102,2020-12-22 14:34:53.313000000
74,102,2020-12-22 14:34:54.313000000
74,102,2020-12-22 14:34:55.313000000
75,102,2020-12-22 14:34:56.313000000
75,102,2020-12-22 14:34:57.313000000
76,102,2020-12-22 14:34:58.313000000
77,102,2020-12-22 14:34:59.313000000
78,102,2020-12-22 14:35:00.313000000
79,102,2020-12-22 14:35:01.313000000
79,102,2020-12-22 14:35:02.313000000
79,102,2020-12-22 14:35:03.313000000
80,102,2020-12-22 14:35:04.313000000
81,102,2020-12-22 14:35:05.313000000
81,102,2020-12-22 14:35:06.313000000
82,102,2020-12-22 14:35:07.313000000
82,102,2020-12-22 14:35:08.313000000
83,102,2020-12-22 14:35:09.313000000
84,102,2020-12-22 14:35:10.313000000
84,102,2020-12-22 14:35:11.313000000
85,102,2020-12-22 14:35:12.313000000
85,102,2020-12-22 14:35:13.313000000
86,102,2020-12-22 14:35:14.313000000
86,102,2020-12-22 14:35:15.313000000
86,102,2020-12-22 14:35:16.313000000
87,102,2020-12-22 14:35:17.313000000
